host_id,host_name,calculated_host_listings_count
2845,Jennifer,3
4869,LisaRoxanne,1
7356,Garon,1
7378,Rebecca,1
8967,Shunichi,1
7490,MaryEllen,1
9744,Laurie,3
15991,Allen & Irina,1
16800,Cyn,1
17297,Joelle,2
17571,Jane,2
21207,Chaya,1
25183,Nathalie,2
30193,Tommi,1
21904,Dana,1
32045,Teri,1
35935,Angela,5
9744,Laurie,3
46978,Edward,2
47727,Earl,1
50124,Orestes,1
50148,Adreinne,1
27848,Jullett,5
52335,Alexander,1
54275,JT And Tiziana,4
56104,James,1
56246,Jeanne,1
59734,Luiz,2
60049,Ted,1
60252,Cristina,1
60278,Petra,1
61491,D,3
63588,Dimitri,1
63613,Patricia,2
64522,Ariel,1
4396,Casey,2
65837,Robin,1
66035,Anna,1
68428,Tye And Etienne,2
68599,George,1
69829,Josh,1
71876,DAVID And RICK,1
70857,Fabian,1
73051,Sybilla,1
73469,Gaia,1
74857,Starlee,1
78353,Guillaume,4
961342,Augustin,1
79402,Christiana,1
42032,Dana,1
82685,Elliott,1
83257,Olan,2
11481,Annette,3
93790,Ann,2
97797,Brandon,1
105538,Erik,1
107628,Dena,1
59734,Luiz,2
42273,Dani,2
115307,Alexandra,1
115560,Stacy,1
119510,Emma,1
120223,Jen,1
65091,Kay,1
124352,Lisa,1
35935,Angela,5
127608,Chris,1
125857,Uli,2
117287,Larissa Nicole,3
135619,Tom,1
137292,Sunder,1
137814,Waldemar,2
139853,Victor,1
143027,Ming,1
143048,Paula,1
128669,Alex,1
137432,Paz,1
157798,Irene,1
158284,Karene,1
165789,Sarah,1
168525,Gus,1
169927,Hubert,2
12220,Corina E.,3
110506,Myung,1
170510,Renée,2
184755,Koray,1
11481,Annette,3
185978,Newyorkroomwithaview,1
191091,Ev,1
190409,Waundell,3
181376,Carol,2
193637,Sara,1
198411,Anastasia,1
202249,Campbell,1
67778,Doug,2
204539,Mark,6
867225,Rahul,1
8198,Monica,1
210746,Kathleen R.,3
216191,M,5
35935,Angela,5
9744,Laurie,3
27848,Jullett,5
244071,Litza,1
204539,Mark,6
204539,Mark,6
204539,Mark,6
210746,Kathleen R.,3
190409,Waundell,3
27848,Jullett,5
258164,Jenny,1
264928,Sally,1
256161,Wayne,2
272006,Vasili,1
199392,S.M.,1
274557,Ana,1
275578,R,1
276291,Simon,2
276207,Joshua,2
277379,Agnes,2
277394,Linda,1
282927,Drica,1
204539,Mark,6
186084,Ricardo & Ashlie,2
288031,Leslie,1
289653,Harrison,1
99212,Jessica,1
292204,Blanca,4
256161,Wayne,2
249372,Cynthia,1
292630,Mich,2
293394,Rachel,1
295760,Greta,2
23619,Anna/Fonzy,1
303882,Brie,1
303939,Lissette,5
303939,Lissette,5
304081,Rodrigo,1
303939,Lissette,5
306545,Olivia,2
306605,Daniel,1
306739,Maya,3
303939,Lissette,5
310670,Vie,8
170510,Renée,2
306545,Olivia,2
312722,Kris & Di,5
313317,Niya,1
314256,Debbie,1
314582,Anthony,2
46978,Edward,2
319092,Juhli,1
314941,Tony,3
320761,Valerie,1
320538,Larissa,1
321756,Eric,1
322884,Melissa,1
324460,Samir,1
314941,Tony,3
136227,Henning,1
327673,Stefano,2
329436,Jana,2
101597,Per,1
330347,Adrienne,1
332189,Elise,1
342054,Violetta,1
343250,Jason,1
281229,Alicia,1
352168,Silvia,1
155689,Joab,1
363834,Jennifer,2
364955,Ruperto,1
365153,Ben,1
369015,Thai,2
373085,Hudson,1
389924,Patty,1
391553,James,1
265109,Nazleen,1
394640,Keith,1
394752,Allison,1
401696,Patricia,1
415660,Carmen,3
417504,The Box House Hotel,27
434987,Jennifer,1
417504,The Box House Hotel,27
417504,The Box House Hotel,27
438133,Ellis,2
417504,The Box House Hotel,27
448312,Christopher,2
448312,Christopher,2
449787,Sarah,1
451545,Ruthven,1
453519,Julian,1
454756,Leslie,1
410094,Yvette,1
417504,The Box House Hotel,27
257306,Sanah,1
209460,Marylyn Palmer,2
25183,Nathalie,2
35375,Savannah,2
503800,Peace,1
478395,Jason,1
473113,Keishera,1
509341,Tessa,1
509918,Eduardo,1
520279,Peter Michael,1
522164,Wanda,1
524730,Oz,1
523218,Giorgio,1
526805,Mi,1
526105,Scott,1
530032,Lee And Tara,1
178043,Chas,1
465278,Ade,1
417504,The Box House Hotel,27
547386,Michelle,2
548817,Armand,1
551055,Alicia,2
552679,Olivia,1
306739,Maya,3
3088389,Kai,1
568103,Liah,1
568568,Driss,1
572527,Marine,1
573316,Kelli,1
181376,Carol,2
314582,Anthony,2
579495,Susi,3
567187,Jane,1
585166,Lilly,1
497672,Cynthia And  Charlie,1
2248897,Roberta,1
262812,Vikram,1
611716,Elizabeth,2
617990,Christopher,1
622855,Desmond,2
627217,Seith,3
620288,Eric,1
23276,Katharine,1
85330,Jean,3
653405,Tracy,1
652842,Giovanni,1
663764,Karen,2
663879,Christopher,1
665013,Jeff,1
663384,Irena,1
680818,Jessica,1
622866,Daniel,1
686147,Dave,1
686768,Mark,1
687361,Orna,1
277747,Josh,1
616825,Rinaldo,2
299755,Jonathan,1
404424,Oliver,1
715807,John,1
716064,Mihalis,1
718349,B.,2
726333,Peter,1
727084,Daniela,1
722320,Gladys & Bob,1
216191,M,5
732535,William,3
739499,Donna,1
745069,Kimberly,2
757166,Tokunbo,1
758441,Fred,4
573065,Laura,1
54275,JT And Tiziana,4
54275,JT And Tiziana,4
759883,Kaye,1
776490,Andres,1
776645,Placid,1
627217,Seith,3
791287,Giancarlo,1
792159,Wanda,1
795640,Jilly,1
720558,Sara,1
806214,Vanessa,1
806774,Ali & SweetPea,1
812814,Lena,1
67778,Doug,2
60923,Omri,1
823006,Suzanne,1
826459,Jane,1
836168,Henry,10
844862,Cj,2
848960,Amit,1
849492,Kathrine,1
21475,Milan,1
314941,Tony,3
39260,Mat,1
872805,Mike,2
873273,Christian & Carla,1
904833,Daniel,1
909234,Leslie,1
179020,Michael,1
912541,David,1
489400,O'Dell,1
915640,Sundiata,1
918866,Marina,1
922922,Karen,1
874471,Alan,1
926539,Az,1
940724,Susan,1
949221,Dennis,2
949221,Dennis,2
611716,Elizabeth,2
964482,Colin,2
289135,Toni,1
965976,Jaymes,1
568325,Simone,1
988350,Andrea,1
918087,Jacqui,3
1000477,Elizabeth,1
51038,Erica,1
1007558,Welcome To My Place,1
1010242,Zora & Chris,1
1012691,Tiffaney,1
1014639,Brett,1
1017473,Evan,1
1018472,Angus,2
1024248,Tyler,1
1024355,Martina,1
1029021,Jameelah,2
1031148,Iulia,1
306739,Maya,3
666271,Susan,1
1096084,Daniel,1
800223,Nader,1
1109658,Carmel,1
1112560,Mary,3
17571,Jane,2
1121193,Samuel,1
1129218,Orlando,1
447754,Yana,1
1139574,Carmel,1
918087,Jacqui,3
1144415,Lisa,1
1153993,Anton,1
1157620,Rachel,1
1164642,Rosalynn,1
1165231,Deirdre,1
1112560,Mary,3
1158300,Camila,1
1177947,Marina,1
815977,Ryan,2
959931,Kimball,1
209460,Marylyn Palmer,2
1191142,Lady Jay,1
1194377,Marceline,1
1203500,Civan,1
292204,Blanca,4
27848,Jullett,5
1217241,Dee,1
1220414,Michael,1
1012895,Melody,1
148014,Bria,1
1232627,Stefanie,1
1234135,Santiago,2
1234405,Bertie,1
83257,Olan,2
1236070,Daniel,1
1236817,Blue,1
1240820,Yvonne,1
1256874,Nancy,1
136962,Li,2
1258363,Todd,1
737845,Eric,1
1263176,Joseph,1
1273825,Lauryn,1
1260921,Victor,2
1288460,Al-,1
1292250,Jerry,1
1234135,Santiago,2
1269526,Amy,3
417504,The Box House Hotel,27
605463,West Village,3
1304390,Barry,2
1306587,Andy,1
1307773,Karina,1
966806,Mary And Charles,1
758441,Fred,4
1311398,Ben,1
1311870,Christy,1
1313306,Yvette,2
1317343,Carol,1
194457,Grace,1
417504,The Box House Hotel,27
417504,The Box House Hotel,27
417504,The Box House Hotel,27
1331850,G,1
417504,The Box House Hotel,27
417504,The Box House Hotel,27
417504,The Box House Hotel,27
417504,The Box House Hotel,27
417504,The Box House Hotel,27
417504,The Box House Hotel,27
417504,The Box House Hotel,27
417504,The Box House Hotel,27
417504,The Box House Hotel,27
1336542,Mark Elijah,1
1302029,Bree,1
1343630,Antonio,1
1343814,Michael,1
315401,Jaime,1
436599,Chad,2
1359611,Andrea,1
1360043,Adrienne,1
1360198,Marina,1
32613,Diana,1
1370358,Keiko,1
1372786,Lindsey,1
1359519,Nadya,1
535128,Juliana,1
605463,West Village,3
1380060,Marisa And Colin,1
1381171,Nicole,1
1382749,Shaun,1
1384559,Catherine,1
21188,Leo,1
1390947,Akiko,1
1392440,Sandra,1
1385157,Brian,5
1385157,Brian,5
1397115,Drew,1
638721,Fred,4
1402454,Jocelin,1
164675,Janice,1
65610,Herman,2
1380703,Vishal,1
1410714,Antoinette,1
1411399,Carlos,4
1413098,Min,1
1093220,Chavisa,2
1366310,Janina,2
1398639,Juliet,3
1415590,Cameron,1
1387370,James,1
1423613,Arthur,1
1195295,M,1
605463,West Village,3
1434654,Andrew,1
1434931,Aaron,1
1436404,Catherine,1
1437621,Libby,1
1417757,Kwab,1
130901,Chauncey,1
1446764,William,1
1447684,Rosa,3
950657,Michelle,1
1451723,Bia,2
1452026,Heidi,1
1132207,Cathryne,1
368528,Ally,1
1420300,Gordy,1
1151818,Gabrielle,1
70614,Vimal,1
1468658,Barbara,1
1469036,Tw,1
1474071,Diana,1
1476954,Jose,1
1482460,Dara,1
1486107,Annie,1
1491538,Erika,1
1492339,Karin,1
1029021,Jameelah,2
1495090,Carey,1
1495141,Keow,1
1496847,Paul & Ewa,1
107853,Flo,1
347036,Jasmine,1
1503831,Elle,1
815741,Geoff,1
639526,Sinem,2
169927,Hubert,2
1513294,Urszula,2
1515730,Lauren,1
1495502,Suzanne,1
417504,The Box House Hotel,27
417504,The Box House Hotel,27
45682,Irina,1
417504,The Box House Hotel,27
417504,The Box House Hotel,27
417504,The Box House Hotel,27
417504,The Box House Hotel,27
1387286,Felicia,2
568585,Alan,1
1528912,Weiwei,2
1530310,Jacques,4
997124,Alison,1
1539749,Edward,4
1539749,Edward,4
1294674,Alex,1
1555897,Alice,1
1556814,Tammy,10
1556814,Tammy,10
1556814,Tammy,10
1439222,Virginia,1
8605,Dimitry,1
1556814,Tammy,10
1570170,Kristina,1
1556814,Tammy,10
1577493,Tina,1
1577961,Oona,1
1390555,Jonathan,1
745069,Kimberly,2
1597481,Mary,1
1385157,Brian,5
72747,Karen,1
142147,Richard,1
1606133,George,1
1606222,P,1
1617817,Chris,1
1632149,Michael,1
9647066,Maria Luiza,2
1366194,Fabiana,1
1644452,Erin,1
1644999,Candice,1
1649300,James,1
1118296,Nicole,1
1661965,Mathias,1
92788,Sara,1
668564,Nitzan,1
1676487,Robyn,1
890215,Duane,4
1679238,Viveca,3
1681546,Todd,1
33188,Penny,2
1698391,Pat,3
52043,Patrick,1
547177,Chryslaine,1
1732559,J,3
1740216,Laura,2
1732559,J,3
10609846,Ben,1
1745402,Tony,1
1757016,Christine,1
1747222,Sascha,1
417652,Ron,1
1785800,Marvet,3
314377,Marc,1
1474749,Jared,1
85202288,Tomas,1
1562039,Jennifer,1
1834769,Debbie,2
1842714,Susan,1
959239,Nancy,1
1728785,Veronika,1
1190019,Penny,1
1879389,Christina,2
1884204,Mark,2
1900800,Grisel,2
438133,Ellis,2
1317588,Alexander,1
732535,William,3
732535,William,3
1930204,Sophia,2
1931205,Orit,1
1934317,Serebe,1
773928,Nen,1
1935291,Cristina,1
1935605,Jon,1
1939728,Michael & Aleksandra,1
1947974,Constance F.,2
312722,Kris & Di,5
1965972,Alayna,1
1947974,Constance F.,2
1981742,Daniel,1
70234,Richelle,1
1982209,Wendy,1
434632,Sonya,2
1996265,David,1
1488809,John,1
2013117,Katya,1
528594,Giovanni,1
2017752,Jeruschka,1
2018042,Megan,1
2015914,Majar,5
520189,Andre,1
1621363,Elizabeth,2
405225,Olga,1
2050338,Verena,3
2051075,Linda,2
1286417,Omri,1
2050328,Martis,1
2714164,Jasmine,1
85006178,Alain,1
2085639,Eada,1
2087636,Maddine,1
1008997,Alexis,2
1530310,Jacques,4
2105276,Leo,1
820046,Elaine,1
2141109,Kishore,1
2148881,Grace,1
644941,Miya,1
287733,David,1
2117078,Joe,1
2165401,Andrew,1
2169825,Serge,1
290662,Seth,1
2175110,Ralph,1
2177462,Marc,1
1566042,Haley,1
1903758,Andrij,1
793225,Rachel,1
2206506,James,2
420542,Danielle,1
1109143,Mark,1
1267021,Sharma,2
1267021,Sharma,2
124357,Valeria,3
2233165,Liz,1
2237267,Marjorie,1
9647066,Maria Luiza,2
2246071,Tamara,1
2248545,Helen,1
137814,Waldemar,2
2252261,Stephanie,1
1530310,Jacques,4
2257289,Toni,1
2259061,Felo,1
2265389,Laura,1
2265770,Jeanine,3
2267508,Daniel,1
2267864,Gary,1
1594083,David,1
2270183,Kaye,1
2275829,Lorena,1
2282355,Ivana,1
128890,Sara,1
2298239,Sunserae,1
1333948,Yasemin,1
