id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,availability_365
2595,Manhattan,Midtown,40.75356,-73.98559,Entire home/apt,341
3831,Brooklyn,Bedford-Stuyvesant,40.68494,-73.95765,Entire home/apt,212
5121,Brooklyn,Bedford-Stuyvesant,40.68535,-73.95512,Private room,365
5136,Brooklyn,Sunset Park,40.66265,-73.99454,Entire home/apt,184
5178,Manhattan,Midtown,40.76457,-73.98317,Private room,255
5203,Manhattan,Upper West Side,40.8038,-73.96751,Private room,0
5803,Brooklyn,South Slope,40.66801,-73.98784,Private room,336
6848,Brooklyn,Williamsburg,40.70935,-73.95342,Entire home/apt,263
6990,Manhattan,East Harlem,40.78778,-73.94759,Private room,258
7064,Brooklyn,Williamsburg,40.71248,-73.95881,Private room,172
7097,Brooklyn,Fort Greene,40.69121,-73.97277,Entire home/apt,278
7801,Brooklyn,Williamsburg,40.71778,-73.9568,Entire home/apt,307
8490,Brooklyn,Bedford-Stuyvesant,40.68462,-73.93839,Entire home/apt,315
9357,Manhattan,Hell's Kitchen,40.76724,-73.98664,Entire home/apt,215
9657,Manhattan,East Village,40.72712,-73.98598,Entire home/apt,34
9704,Manhattan,Harlem,40.81317,-73.95465,Private room,216
10452,Brooklyn,Bedford-Stuyvesant,40.68294,-73.95682,Private room,212
10962,Brooklyn,South Slope,40.66692,-73.98981,Private room,334
12192,Manhattan,East Village,40.72296,-73.98383,Private room,30
12343,Manhattan,Harlem,40.8114,-73.94296,Entire home/apt,364
12937,Queens,Long Island City,40.74757,-73.94571,Private room,164
12940,Brooklyn,Bedford-Stuyvesant,40.67946,-73.95417,Entire home/apt,226
13121,Queens,Jamaica,40.67144,-73.76501,Private room,361
13394,Brooklyn,Fort Greene,40.69222,-73.97336,Private room,129
13808,Brooklyn,Bedford-Stuyvesant,40.68064,-73.94039,Private room,243
14290,Brooklyn,Williamsburg,40.70348,-73.93621,Entire home/apt,129
14314,Brooklyn,Greenpoint,40.73535,-73.95584,Entire home/apt,215
15220,Manhattan,Hell's Kitchen,40.75611,-73.99523,Private room,309
15341,Manhattan,Nolita,40.72297,-73.99684,Entire home/apt,65
15385,Brooklyn,Williamsburg,40.71211,-73.96397,Private room,216
15396,Manhattan,Chelsea,40.74493,-73.99521,Entire home/apt,61
15711,Manhattan,Upper East Side,40.77119,-73.95241,Entire home/apt,226
16326,Brooklyn,Prospect Heights,40.67839,-73.96642,Entire home/apt,286
16338,Brooklyn,Clinton Hill,40.69121,-73.96804,Private room,277
16595,Brooklyn,Williamsburg,40.7092,-73.96641,Entire home/apt,353
16821,Manhattan,East Village,40.72281,-73.98501,Private room,56
16974,Manhattan,East Harlem,40.8019,-73.93762,Entire home/apt,133
17037,Manhattan,East Village,40.72289,-73.98028,Entire home/apt,139
17693,Manhattan,Washington Heights,40.83253,-73.94108,Private room,355
17747,Brooklyn,Clinton Hill,40.68503,-73.96555,Private room,364
18127,Manhattan,East Village,40.72862,-73.98748,Entire home/apt,295
18728,Manhattan,Chelsea,40.74261,-74.00353,Private room,291
18961,Manhattan,Kips Bay,40.73808,-73.98001,Private room,0
19159,Manhattan,Harlem,40.82817,-73.95133,Entire home/apt,64
19282,Brooklyn,Flatbush,40.65437,-73.96278,Private room,89
19812,Brooklyn,Williamsburg,40.71802,-73.95724,Entire home/apt,269
20717,Brooklyn,Prospect Heights,40.6771,-73.97231,Private room,339
20724,Brooklyn,Bushwick,40.69891,-73.93809,Private room,292
20913,Brooklyn,Williamsburg,40.70967,-73.95922,Entire home/apt,0
21456,Manhattan,Upper West Side,40.79936,-73.96155,Entire home/apt,296
21644,Manhattan,Harlem,40.82782,-73.9473,Private room,365
21794,Manhattan,Chelsea,40.74187,-74.00223,Private room,364
23135,Brooklyn,Carroll Gardens,40.67747,-74.00146,Entire home/apt,326
23686,Manhattan,West Village,40.72961,-74.00308,Entire home/apt,230
24285,Brooklyn,Park Slope,40.67115,-73.98026,Entire home/apt,255
25406,Brooklyn,Williamsburg,40.71649,-73.94865,Entire home/apt,0
25696,Manhattan,Harlem,40.8104,-73.94309,Private room,307
26362,Manhattan,Hell's Kitchen,40.75603,-73.99294,Private room,300
26785,Brooklyn,South Slope,40.6686,-73.98723,Entire home/apt,123
26969,Brooklyn,Williamsburg,40.7184,-73.95973,Entire home/apt,122
27006,Manhattan,Upper West Side,40.77839,-73.97778,Entire home/apt,358
27644,Manhattan,Harlem,40.82682,-73.94948,Entire home/apt,276
27883,Manhattan,East Village,40.72421,-73.98509,Entire home/apt,0
28321,Brooklyn,Prospect-Lefferts Gardens,40.6545,-73.96071,Private room,209
28907,Manhattan,Upper East Side,40.77827,-73.94669,Entire home/apt,218
29013,Brooklyn,Bedford-Stuyvesant,40.68288,-73.95646,Private room,0
29628,Brooklyn,Clinton Hill,40.68292,-73.96381,Private room,293
29683,Manhattan,Lower East Side,40.72314,-73.99108,Entire home/apt,298
31130,Manhattan,Hell's Kitchen,40.7672,-73.98464,Private room,353
31555,Manhattan,West Village,40.73405,-74.00281,Entire home/apt,0
31902,Brooklyn,East Flatbush,40.6327,-73.93184,Private room,178
31994,Brooklyn,Clinton Hill,40.68818,-73.96383,Private room,337
32329,Manhattan,East Village,40.72741,-73.98405,Entire home/apt,361
33009,Brooklyn,Williamsburg,40.71512,-73.95899,Entire home/apt,260
33014,Manhattan,East Village,40.72367,-73.98139,Entire home/apt,240
33156,Manhattan,Upper West Side,40.78763,-73.96862,Entire home/apt,198
36442,Brooklyn,Prospect Heights,40.67447,-73.96619,Entire home/apt,333
36647,Manhattan,East Harlem,40.79128,-73.94125,Private room,307
36703,Manhattan,West Village,40.73271,-74.00367,Entire home/apt,276
