,id,name,host_id,price,minimum_nights
0,2595,Skylit Midtown Castle,2845,150,30
1,3831,"Whole flr w/private bdrm, bath & kitchen(pls read)",4869,75,1
2,5121,BlissArtsSpace!,7356,60,30
3,5136,"Spacious Brooklyn Duplex, Patio + Garden",7378,275,5
4,5178,Large Furnished Room Near B'way,8967,61,2
5,5203,Cozy Clean Guest Room - Family Apt,7490,75,2
6,5803,"Lovely Room 1, Garden, Best Area, Legal rental",9744,98,4
7,6848,Only 2 stops to Manhattan studio,15991,89,30
8,6990,UES Beautiful Blue Room,16800,62,30
9,7064,"Amazing location! Wburg. Large, bright & tranquil",17297,90,27
10,7097,Perfect for Your Parents:  Privacy + Garden,17571,199,2
11,7801,Sweet and Spacious Brooklyn Loft,21207,299,30
12,8490,"Maison des Sirenes1,bohemian, luminous apartment",25183,136,2
13,9357,Midtown Pied-a-terre,30193,150,30
14,9657,Modern 1 BR / NYC / East Village,21904,192,10
15,9704,Spacious 1 bedroom in luxe building,32045,55,30
16,10452,Large B&B Style rooms,35935,80,30
17,10962,"Lovely Room 2; Garden; Best area, Legal",9744,98,4
18,12192,ENJOY Downtown NYC!,46978,40,2
19,12343,BEST BET IN HARLEM,47727,250,30
20,12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",50124,145,3
21,12940,Charming Brownstone 3 - Near PRATT,50148,99,30
22,13121,(E) RIGHT ON BUDGET,27848,75,2
23,13394,Fort Greene brownstone,52335,80,1
24,13808,Blue Room for 2 in Brownstone for $1350 monthly,54275,80,2
25,14290,* ORIGINAL BROOKLYN LOFT *,56104,197,3
26,14314,Greenpoint Place...Has It All!,56246,99,30
27,15220,Best Location in NYC! TIMES SQUARE!,59734,79,2
28,15341,"Bright 1bd Nolita Apt, Doorman, Elevator, Security",60049,191,30
29,15385,"Very, very cozy place",60252,80,7
30,15396,Sunny & Spacious Chelsea Apartment,60278,400,30
31,15711,2 bedroom Upper East Side,61491,206,30
32,16326,Comfortable 4-bedroom apt in family house.,63588,140,30
33,16338,Double Room w Private Deck Clinton Hill Best Area,63613,55,14
34,16595,Quiet Full Floor Loft with Home Theater,64522,364,1
35,16821,Large Room in Amazing East Village Apt,4396,99,1
36,16974,SpaHa Loft: Enormous and Bright,65837,300,5
37,17037,Lovely EV Artist's Home,66035,160,30
38,17693,"HARLEM, NYC,STILL WELCOMES YOU!! xx",68428,65,2
39,17747,BLUE TRIM GUEST HOUSE,68599,95,150
40,18127,Charming East Village One Bedroom Flat,69829,190,30
41,18728,Beautiful Meatpacking District Loft,71876,175,4
42,18961,Cozy Studio in Great Location!,70857,95,30
43,19159,Spacious luminous apt Upper West NYC,73051,110,31
44,19282,"Sunny, Spacious Top Floor Haven",73469,110,30
45,19812,2 bedroom Williamsburg Apt - Bedford L stop,74857,105,30
46,20717,Room in Brownstone B/Q feet away,78353,85,30
47,20724,Sunny room+Pvte office in huge loft,961342,50,5
48,20913,Charming 1 bed GR8 WBurg LOCATION!,79402,80,30
49,21456,Light-filled classic Central Park,42032,88,30
50,21644,"Upper Manhattan, New York",82685,99,30
51,21794,COZY QUIET monthly room 4 DOOGLERS!,83257,85,30
52,23135,House On Henry (3rd FLR Suite),11481,175,3
53,23686,2000 SF 3br 2ba West Village outdoor living house,93790,500,7
54,24285,Beautiful Duplex Apartment,97797,220,30
55,25406,"Modern Brooklyn Apt., August sublet",105538,83,30
56,25696,"1,800 sq foot in luxury building",107628,100,1
57,26362,"Times Square, Safe, Clean and Cozy!",59734,75,2
58,26785,Park Slope Green Guest House,42273,90,30
59,26969,2 story family home in Williamsburg,115307,165,30
60,27006,Comfortable UWS 2-BD Family-Friendly Brownstone,115560,225,30
61,27644,Sugar Hill Rest Stop,119510,170,2
