id,number_of_reviews,reviews_per_month,last_review
2595,48,0.34,2019-11-04
3831,408,5.09,2021-06-29
5121,50,0.55,2016-06-05
5136,1,0.01,2014-01-02
5178,485,3.63,2021-07-18
5203,118,0.9,2017-07-12
5803,192,1.43,2021-07-18
6848,181,1.27,2020-03-09
6990,234,1.88,2021-07-04
7064,9,0.07,2015-08-31
7097,259,2.95,2021-08-01
7801,9,0.06,2011-12-28
8490,132,1.15,2021-06-28
9357,58,0.57,2017-08-13
9657,39,0.73,2021-07-17
9704,98,1.44,2020-03-14
10452,76,0.67,2021-04-01
10962,188,2.14,2021-07-18
12192,265,2.04,2020-11-14
12343,107,0.81,2019-07-09
12937,294,3.11,2021-07-27
12940,71,1.01,2021-06-14
13121,68,0.82,2021-07-11
13394,143,1.2,2019-08-24
13808,152,1.28,2021-07-25
14290,108,2.08,2021-06-28
14314,179,2.11,2020-03-14
15220,328,2.69,2021-07-17
15341,26,0.72,2020-10-14
15385,49,0.4,2020-01-01
15396,5,0.08,2016-10-18
15711,84,0.63,2020-07-08
16326,152,1.28,2020-12-29
16338,29,0.36,2021-02-28
16595,202,1.56,2021-07-16
16821,125,1.69,2021-07-23
16974,226,1.85,2021-07-20
17037,53,0.48,2018-05-14
17693,60,1.15,2019-12-08
17747,128,1.13,2020-03-08
18127,21,0.16,2018-08-28
18728,190,1.91,2021-07-24
18961,1,0.02,2016-03-22
19159,58,0.48,2020-09-01
19282,17,0.15,2019-07-20
19812,61,0.64,2018-07-29
20717,47,0.66,2021-03-31
20724,31,0.67,2020-11-24
20913,168,1.67,2018-07-22
21456,83,1.35,2020-11-21
21644,3,0.09,2019-10-21
21794,36,0.53,2019-08-31
23135,262,2.78,2021-07-16
23686,51,0.52,2021-07-18
24285,89,0.75,2021-06-01
25406,29,0.38,2018-05-26
25696,190,2.25,2020-01-01
26362,395,3.59,2021-07-15
26785,475,4.19,2021-06-30
26969,343,2.9,2020-10-31
27006,28,0.39,2018-06-22
27644,211,1.77,2021-07-27
27883,25,0.21,2011-11-21
28321,9,0.07,2018-10-05
28907,21,0.22,2017-05-26
29013,66,0.59,2021-05-01
29628,285,2.54,2021-05-31
29683,115,1.16,2021-07-30
31130,66,2.05,2020-06-02
31555,32,0.26,2021-03-27
31902,4,0.03,2019-08-26
31994,479,5.08,2021-07-14
32329,3,0.04,2012-09-01
33009,265,2.84,2021-07-11
33014,34,0.34,2019-08-15
33156,20,0.23,2020-10-14
36442,4,0.05,2018-01-01
36647,34,0.5,2017-05-14
36703,136,1.34,2019-03-31
38663,24,0.24,2021-06-27
39282,231,2.41,2021-07-01
39572,44,0.37,2018-08-04
39586,182,1.48,2021-04-18
39593,29,0.24,2019-04-12
39704,337,2.7,2019-12-12
42300,61,0.58,2021-07-05
42729,169,1.67,2020-01-01
42882,176,1.77,2019-11-03
43726,13,0.67,2020-12-29
44096,278,2.25,2021-07-21
44229,231,2.76,2019-12-12
44288,88,0.9,2020-12-07
44973,122,1.09,2021-07-31
45542,18,0.53,2018-12-13
45556,270,3.27,2021-08-03
45910,13,0.6,2019-11-12
45936,129,1.09,2019-12-14
46544,58,0.57,2020-03-18
46911,54,0.52,2021-07-06
47613,28,0.21,2013-11-04
49048,21,0.26,2021-08-02
50447,188,1.8,2021-07-11
51850,53,0.4,2019-09-03
52689,6,0.05,2021-05-29
53469,33,0.29,2015-03-09
53470,6,0.05,2015-10-08
53477,16,0.57,2016-07-24
54508,105,0.87,2021-07-31
54626,183,1.89,2020-03-06
54694,62,0.47,2017-10-08
54860,236,2.26,2021-08-02
55982,37,0.94,2018-12-19
56859,208,1.75,2020-05-28
57166,59,0.93,2021-07-31
57297,242,2.93,2020-10-21
57618,114,1.33,2021-07-24
57754,139,1.68,2021-08-01
57874,279,2.5,2021-07-12
57901,9,0.07,2017-05-31
58059,557,4.74,2021-07-27
58062,25,0.92,2020-02-16
59014,57,0.53,2020-02-18
59121,2,0.02,2019-11-01
59709,27,0.35,2021-07-25
59855,82,0.73,2014-04-26
60164,106,1.63,2019-12-01
60457,10,0.08,2019-07-31
60611,191,1.54,2021-07-04
60666,216,1.8,2020-11-08
60673,3,0.14,2019-10-15
60680,163,1.44,2020-11-23
60794,4,0.03,2017-08-25
61167,21,0.3,2015-12-12
61509,92,0.78,2019-03-02
62427,61,0.54,2019-10-27
62452,213,1.87,2020-04-25
62461,172,1.64,2020-08-06
62468,30,0.24,2018-08-11
62787,202,1.8,2020-09-07
62891,201,1.6,2021-07-19
62903,68,0.8,2019-11-15
62925,140,1.73,2021-07-02
63320,251,2.1,2020-11-07
63610,46,1.2,2021-07-26
63657,268,2.23,2019-12-08
63693,153,1.37,2019-12-26
64000,14,0.2,2018-10-01
64107,308,2.54,2020-01-03
64314,45,0.37,2020-02-22
64365,244,6.2,2019-12-23
64837,219,2.25,2021-07-31
65268,63,0.87,2018-07-26
65425,1,0.01,2010-12-21
65615,56,0.96,2020-09-05
65660,158,2.32,2020-10-06
65813,20,0.44,2019-01-02
66008,68,0.6,2020-03-22
66251,109,1.76,2021-07-14
66275,147,2.06,2021-08-01
66718,213,1.97,2021-05-01
66741,250,2.45,2020-03-01
66974,132,1.6,2021-07-13
67288,35,0.48,2021-07-22
67299,69,1.08,2021-07-16
67397,105,0.88,2019-12-31
68735,33,0.29,2019-11-21
68900,7,0.08,2019-10-26
68974,220,1.73,2021-07-18
69894,56,0.66,2021-07-01
69921,58,0.78,2021-07-08
71248,53,1.46,2021-05-31
71366,43,0.86,2021-07-03
71384,50,0.4,2014-04-08
71812,10,0.52,2021-05-02
72190,37,0.49,2018-08-04
74240,76,1.19,2021-08-01
74438,52,0.43,2014-09-23
74680,225,2.59,2020-08-23
74821,47,0.49,2018-09-04
74860,3,0.02,2019-10-30
75635,322,2.61,2020-12-10
77517,3,0.02,2012-07-23
77765,38,0.97,2019-09-20
80493,197,1.78,2020-08-08
80684,8,0.07,2016-03-27
80700,7,0.06,2019-05-24
80924,37,0.61,2020-01-24
81739,2,0.02,2011-03-25
82549,67,0.67,2019-12-08
82550,99,1.67,2021-05-31
82638,271,2.32,2021-05-17
82928,72,1.13,2021-06-18
83243,250,2.28,2020-02-09
83446,6,0.05,2019-08-21
83847,44,0.35,2020-03-08
84010,16,0.13,2019-09-19
89205,42,0.35,2020-12-19
89621,238,2.02,2020-01-19
93313,106,1.22,2021-05-13
94035,51,1.47,2019-12-16
94209,10,3.9,2021-06-27
94477,400,3.3,2020-03-15
94783,117,1.15,2021-04-06
95747,14,0.11,2021-03-29
95883,5,0.08,2018-12-26
98663,19,0.19,2018-06-11
99085,22,0.26,2021-07-09
99662,28,0.27,2014-06-17
100002,151,1.4,2020-02-18
100186,106,1.28,2021-04-23
100368,35,0.29,2021-05-31
101053,38,0.3,2020-01-21
102995,45,0.68,2017-08-02
103161,138,1.48,2021-07-11
103311,9,0.07,2018-05-19
105469,16,0.22,2020-06-28
105790,144,1.56,2019-06-08
106363,422,3.71,2021-07-30
